type,smell,apache-cxf-2.0.6,apache-cxf-2.1.1,apache-cxf-2.2.1,apache-cxf-2.3.0,apache-cxf-2.4.0,apache-cxf-2.5.0,apache-cxf-2.6.0,apache-cxf-2.7.0,apache-cxf-3.0.0,apache-cxf-3.1.0,apache-cxf-3.2.0
cd,org.apache.cxf.aegis.util;org.apache.cxf.aegis;org.apache.cxf.aegis.type.java5;org.apache.cxf.aegis.type_TotNumOfSetOfElement,-Infinity,457.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.corba;org.apache.cxf.binding.corba.interceptors;org.apache.cxf.binding.corba.utils_SeverityScore,-Infinity,-Infinity,210.0,-Infinity,223.0,276.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.corba;org.apache.cxf.binding.corba.interceptors;org.apache.cxf.binding.corba.utils_PageRank,-Infinity,-Infinity,13.693215813718481,-Infinity,14.913702924232942,14.952788860569155,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.corba;org.apache.cxf.binding.corba.interceptors;org.apache.cxf.binding.corba.utils_NumSetOfElement,-Infinity,-Infinity,3.0,-Infinity,3.0,3.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.binding.corba;org.apache.cxf.binding.corba.interceptors;org.apache.cxf.binding.corba.utils_TotNumOfSetOfElement,-Infinity,-Infinity,552.0,-Infinity,740.0,738.0,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.common.util_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,99.0,99.0,
cd,org.apache.cxf;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.common.util_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,37.29778481124877,40.37240063778202,
cd,org.apache.cxf;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.common.util_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,4.0,4.0,
cd,org.apache.cxf;org.apache.cxf.interceptor;org.apache.cxf.phase;org.apache.cxf.common.util_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,331.0,338.0,
cd,org.apache.cxf.endpoint;org.apache.cxf.helpers;org.apache.cxf.service.model_SeverityScore,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,73.0,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.helpers;org.apache.cxf.service.model_PageRank,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,29.730815332005935,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.helpers;org.apache.cxf.service.model_NumSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,3.0,-Infinity,
cd,org.apache.cxf.endpoint;org.apache.cxf.helpers;org.apache.cxf.service.model_TotNumOfSetOfElement,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,331.0,-Infinity,
cd,org.apache.cxf.tools.wsdlto.frontend.jaxws.customization;org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal_SeverityScore,13.0,-Infinity,108.0,12.0,-Infinity,149.0,183.0,14.0,-Infinity,-Infinity,-Infinity,
cd,org.apache.cxf.tools.wsdlto.frontend.jaxws.customization;org.apache.cxf.tools.wsdlto.frontend.jaxws.processor.internal_PageRank,4.9989267862958435,-Infinity,5.1899324080088185,5.2231567634315095,-Infinity,5.443124070703494,5.440998214997048,5.432439848899897,-Infinity,-Infinity,-Infinity,
